127.0.0.1 - - [02/Feb/2022:17:19:06 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1417
127.0.0.1 - - [02/Feb/2022:17:19:07 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:19:07 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:19:07 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1417
127.0.0.1 - - [02/Feb/2022:17:19:07 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:19:07 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:19:07 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1417
127.0.0.1 - - [02/Feb/2022:17:19:07 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:19:07 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:19:07 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1417
127.0.0.1 - - [02/Feb/2022:17:19:07 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:19:07 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:19:08 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1421
127.0.0.1 - - [02/Feb/2022:17:19:08 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:19:08 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:19:08 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1421
127.0.0.1 - - [02/Feb/2022:17:19:08 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:19:08 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:19:08 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1421
127.0.0.1 - - [02/Feb/2022:17:19:08 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:19:08 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:19:08 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1417
127.0.0.1 - - [02/Feb/2022:17:19:08 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:19:08 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:19:09 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1421
127.0.0.1 - - [02/Feb/2022:17:19:09 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:19:09 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:19:09 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1417
127.0.0.1 - - [02/Feb/2022:17:19:09 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:19:09 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:19:15 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1417
127.0.0.1 - - [02/Feb/2022:17:19:15 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:19:15 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:19:15 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1421
127.0.0.1 - - [02/Feb/2022:17:19:15 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:19:15 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:19:16 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1417
127.0.0.1 - - [02/Feb/2022:17:19:16 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:19:16 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:19:17 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1420
127.0.0.1 - - [02/Feb/2022:17:19:17 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:19:17 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:19:17 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1417
127.0.0.1 - - [02/Feb/2022:17:19:17 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:19:17 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:19:19 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1417
127.0.0.1 - - [02/Feb/2022:17:19:19 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:19:19 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:19:19 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1420
127.0.0.1 - - [02/Feb/2022:17:19:19 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:19:19 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:19:19 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1417
127.0.0.1 - - [02/Feb/2022:17:19:19 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
